comuna;educacional_parental;almuerzo;taller_apoyo;matematicas;lectura;escritura;sexo
 Pudahuel;profesional;estandar;no;0.72;0.72;0.74;M
 Santiago;tecnica;estandar;si;0.69;0.9;0.88;M
 Pudahuel;postgrado;estandar;no;0.9;0.95;0.93;M
 Lo_Prado;tecnica;beca;no;0.47;0.57;0.44;H
 Santiago;tecnica;estandar;no;0.76;0.78;0.75;H
 Pudahuel;tecnica;estandar;no;0.71;0.83;0.78;M
 Pudahuel;tecnica;estandar;si;0.88;0.95;0.92;M
 Pudahuel;tecnica;beca;no;0.4;0.43;0.39;H
 Nunoa;secundaria;beca;si;0.64;0.64;0.67;H
 Pudahuel;secundaria;beca;no;0.38;0.6;0.5;M
 Santiago;tecnica;estandar;no;0.58;0.54;0.52;H
 Nunoa;tecnica;estandar;no;0.4;0.52;0.43;H
 Pudahuel;secundaria;estandar;no;0.65;0.81;0.73;M
 Lo_Prado;tecnica;estandar;si;0.78;0.72;0.7;H
 Lo_Prado;postgrado;estandar;no;0.5;0.53;0.58;M
 Santiago;primaria;estandar;no;0.69;0.75;0.78;M
 Santiago;secundaria;estandar;no;0.88;0.89;0.86;H
 Pudahuel;primaria;beca;no;0.18;0.32;0.28;M
 Santiago;postgrado;beca;si;0.46;0.42;0.46;H
 Santiago;tecnica;beca;no;0.54;0.58;0.61;M
 Nunoa;secundaria;estandar;no;0.66;0.69;0.63;H
 Pudahuel;tecnica;beca;si;0.65;0.75;0.7;M
 Nunoa;tecnica;estandar;no;0.44;0.54;0.53;H
 Santiago;primaria;estandar;no;0.69;0.73;0.73;M
 Nunoa;profesional;beca;si;0.74;0.71;0.8;H
 Lo_Prado;postgrado;beca;no;0.73;0.74;0.72;H
 Pudahuel;tecnica;estandar;no;0.69;0.54;0.55;H
 Santiago;profesional;estandar;no;0.67;0.69;0.75;M
 Santiago;secundaria;estandar;no;0.7;0.7;0.65;H
 Nunoa;postgrado;estandar;no;0.62;0.7;0.75;M
 Nunoa;tecnica;estandar;no;0.69;0.74;0.74;M
 Pudahuel;tecnica;estandar;no;0.63;0.65;0.61;M
 Las_Condes;postgrado;beca;no;0.56;0.72;0.65;M
 Nunoa;tecnica;estandar;no;0.4;0.42;0.38;H
 Las_Condes;tecnica;estandar;no;0.97;0.87;0.82;H
 Las_Condes;tecnica;estandar;si;0.81;0.81;0.79;H
 Nunoa;tecnica;estandar;no;0.74;0.81;0.83;M
 Nunoa;primaria;beca;no;0.5;0.64;0.59;M
 Nunoa;tecnica;beca;si;0.75;0.9;0.88;M
 Pudahuel;tecnica;beca;no;0.57;0.56;0.57;H
 Santiago;tecnica;beca;no;0.55;0.61;0.54;H
 Santiago;tecnica;estandar;no;0.58;0.73;0.68;M
 Pudahuel;tecnica;estandar;no;0.53;0.58;0.65;M
 Pudahuel;tecnica;beca;si;0.59;0.65;0.66;H
 Las_Condes;tecnica;beca;no;0.5;0.56;0.54;M
 Pudahuel;tecnica;estandar;no;0.65;0.54;0.57;H
 Lo_Prado;tecnica;estandar;si;0.55;0.65;0.62;M
 Santiago;secundaria;estandar;no;0.66;0.71;0.76;M
 Nunoa;tecnica;beca;si;0.57;0.74;0.76;M
 Santiago;secundaria;estandar;si;0.82;0.84;0.82;H
 Las_Condes;tecnica;estandar;no;0.53;0.55;0.48;H
 Las_Condes;tecnica;beca;si;0.77;0.69;0.68;H
 Santiago;tecnica;estandar;no;0.53;0.44;0.42;H
 Nunoa;secundaria;estandar;no;0.88;0.78;0.75;H
 Santiago;primaria;beca;si;0.71;0.84;0.87;M
 Santiago;secundaria;beca;no;0.33;0.41;0.43;M
 Las_Condes;tecnica;estandar;si;0.82;0.85;0.86;M
 Nunoa;tecnica;estandar;no;0.52;0.55;0.49;H
 Nunoa;tecnica;estandar;si;0.58;0.59;0.58;H
 Santiago;primaria;beca;no;0.0;0.17;0.1;M
 Las_Condes;profesional;beca;si;0.79;0.74;0.72;H
 Lo_Prado;primaria;beca;no;0.39;0.39;0.34;H
 Lo_Prado;tecnica;beca;no;0.62;0.61;0.55;H
 Santiago;tecnica;estandar;no;0.69;0.8;0.71;M
 Nunoa;primaria;estandar;no;0.59;0.58;0.59;M
 Pudahuel;primaria;estandar;no;0.67;0.64;0.61;H
 Nunoa;primaria;beca;no;0.45;0.37;0.37;H
 Santiago;tecnica;estandar;no;0.6;0.72;0.74;M
 Pudahuel;tecnica;beca;no;0.61;0.58;0.56;H
 Santiago;tecnica;estandar;no;0.39;0.64;0.57;M
 Nunoa;tecnica;beca;si;0.58;0.63;0.73;M
 Nunoa;tecnica;estandar;si;0.63;0.55;0.63;H
 Lo_Prado;tecnica;beca;no;0.41;0.51;0.48;M
 Santiago;primaria;beca;no;0.61;0.57;0.56;H
 Santiago;primaria;estandar;no;0.49;0.49;0.41;H
 Pudahuel;tecnica;beca;no;0.44;0.41;0.38;H
 Las_Condes;primaria;estandar;no;0.3;0.26;0.22;H
 Lo_Prado;profesional;estandar;si;0.8;0.78;0.81;H
 Nunoa;primaria;estandar;si;0.61;0.74;0.72;M
 Las_Condes;postgrado;estandar;no;0.62;0.68;0.68;M
 Pudahuel;tecnica;estandar;no;0.47;0.49;0.5;M
 Pudahuel;secundaria;beca;no;0.49;0.45;0.45;H
 Lo_Prado;tecnica;beca;si;0.5;0.47;0.54;H
 Las_Condes;tecnica;estandar;no;0.72;0.64;0.63;H
 Nunoa;secundaria;beca;no;0.42;0.39;0.34;H
 Santiago;tecnica;estandar;no;0.73;0.8;0.82;M
 Santiago;tecnica;beca;no;0.76;0.83;0.88;M
 Nunoa;tecnica;estandar;no;0.71;0.71;0.74;M
 Lo_Prado;tecnica;estandar;no;0.58;0.7;0.67;M
 Nunoa;primaria;estandar;no;0.73;0.86;0.82;M
 Santiago;profesional;estandar;no;0.65;0.72;0.74;M
 Santiago;secundaria;beca;no;0.27;0.34;0.36;H
 Santiago;secundaria;estandar;no;0.71;0.79;0.71;H
 Santiago;tecnica;beca;si;0.43;0.45;0.5;H
 Pudahuel;tecnica;estandar;no;0.79;0.86;0.92;M
 Santiago;tecnica;beca;si;0.78;0.81;0.82;H
 Pudahuel;primaria;estandar;si;0.65;0.66;0.62;H
 Las_Condes;tecnica;estandar;si;0.63;0.72;0.7;M
 Nunoa;tecnica;beca;no;0.58;0.67;0.62;M
 Nunoa;profesional;estandar;no;0.65;0.67;0.62;M
 Pudahuel;tecnica;estandar;no;0.79;0.67;0.67;H
 Nunoa;profesional;estandar;si;0.68;0.74;0.74;H
 Nunoa;tecnica;estandar;no;0.85;0.91;0.89;M
 Pudahuel;secundaria;estandar;si;0.6;0.44;0.47;H
 Santiago;tecnica;estandar;si;0.98;0.86;0.9;H
 Santiago;tecnica;estandar;no;0.58;0.67;0.72;M
 Nunoa;postgrado;estandar;no;0.87;1.0;1.0;M
 Las_Condes;tecnica;estandar;si;0.66;0.63;0.64;H
 Pudahuel;tecnica;beca;no;0.52;0.76;0.7;M
 Pudahuel;primaria;estandar;no;0.7;0.64;0.72;M
 Nunoa;tecnica;beca;si;0.77;0.89;0.98;M
 Santiago;secundaria;estandar;no;0.62;0.55;0.49;H
 Lo_Prado;tecnica;estandar;no;0.54;0.53;0.47;H
 Nunoa;tecnica;estandar;no;0.51;0.58;0.54;M
 Las_Condes;profesional;estandar;si;0.99;1.0;1.0;M
 Santiago;secundaria;estandar;no;0.84;0.77;0.74;H
 Pudahuel;profesional;beca;no;0.75;0.85;0.82;M
 Nunoa;profesional;estandar;no;0.78;0.82;0.79;M
 Nunoa;primaria;estandar;no;0.51;0.63;0.61;M
 Santiago;tecnica;estandar;no;0.55;0.69;0.65;M
 Santiago;profesional;estandar;si;0.79;0.92;0.89;M
 Pudahuel;tecnica;estandar;si;0.91;0.89;0.92;H
 Santiago;tecnica;estandar;si;0.88;0.93;0.93;M
 Nunoa;secundaria;beca;no;0.63;0.57;0.56;H
 Las_Condes;tecnica;estandar;no;0.83;0.8;0.73;H
 Pudahuel;secundaria;estandar;no;0.87;0.95;0.86;M
 Pudahuel;primaria;estandar;no;0.72;0.68;0.67;H
 Nunoa;tecnica;estandar;si;0.65;0.77;0.74;H
 Nunoa;postgrado;estandar;no;0.82;0.82;0.74;H
 Lo_Prado;profesional;estandar;no;0.51;0.49;0.51;M
 Nunoa;postgrado;estandar;no;0.89;0.84;0.82;H
 Santiago;primaria;beca;si;0.53;0.37;0.4;H
 Las_Condes;tecnica;beca;si;0.87;0.74;0.7;H
 Santiago;tecnica;estandar;si;0.75;0.81;0.84;M
 Nunoa;profesional;beca;si;0.74;0.79;0.75;H
 Santiago;profesional;estandar;no;0.58;0.55;0.48;H
 Pudahuel;primaria;estandar;si;0.51;0.54;0.41;H
 Las_Condes;secundaria;estandar;no;0.7;0.55;0.56;H
 Santiago;tecnica;estandar;no;0.59;0.66;0.67;M
 Nunoa;tecnica;estandar;si;0.71;0.61;0.69;H
 Nunoa;primaria;estandar;no;0.76;0.72;0.71;M
 Santiago;tecnica;beca;no;0.59;0.62;0.64;M
 Las_Condes;tecnica;beca;si;0.42;0.55;0.54;M
 Lo_Prado;secundaria;estandar;no;0.57;0.43;0.47;H
 Nunoa;tecnica;estandar;no;0.88;0.73;0.78;H
 Santiago;tecnica;beca;no;0.22;0.39;0.33;M
 Pudahuel;primaria;estandar;no;0.88;0.84;0.75;H
 Santiago;tecnica;beca;no;0.73;0.68;0.66;H
 Nunoa;profesional;estandar;si;0.68;0.75;0.81;M
 Las_Condes;tecnica;beca;si;1.0;1.0;0.93;H
 Lo_Prado;primaria;estandar;si;0.62;0.67;0.69;H
 Lo_Prado;profesional;estandar;no;0.77;0.67;0.68;H
 Pudahuel;tecnica;estandar;si;0.59;0.7;0.66;M
 Nunoa;profesional;estandar;no;0.54;0.49;0.47;H
 Nunoa;primaria;estandar;no;0.62;0.67;0.61;H
 Santiago;tecnica;estandar;si;0.7;0.89;0.88;M
 Las_Condes;secundaria;beca;si;0.66;0.74;0.78;M
 Pudahuel;tecnica;beca;no;0.6;0.6;0.6;H
 Pudahuel;tecnica;estandar;si;0.61;0.86;0.87;M
 Nunoa;tecnica;beca;no;0.66;0.62;0.64;H
 Pudahuel;tecnica;beca;si;0.82;0.78;0.74;H
 Las_Condes;tecnica;beca;si;0.75;0.88;0.85;M
 Pudahuel;postgrado;beca;no;0.49;0.53;0.52;H
 Santiago;secundaria;estandar;no;0.52;0.53;0.49;H
 Las_Condes;postgrado;estandar;no;0.81;0.92;0.91;M
 Santiago;profesional;estandar;si;0.96;1.0;1.0;M
 Santiago;secundaria;beca;si;0.53;0.51;0.51;H
 Pudahuel;postgrado;beca;si;0.58;0.76;0.78;M
 Pudahuel;secundaria;estandar;si;0.68;0.83;0.78;M
 Santiago;tecnica;beca;si;0.67;0.75;0.7;M
 Lo_Prado;secundaria;estandar;si;0.72;0.73;0.74;H
 Las_Condes;primaria;estandar;no;0.94;0.88;0.78;H
 Nunoa;tecnica;estandar;no;0.79;0.86;0.81;M
 Santiago;tecnica;estandar;no;0.63;0.67;0.7;M
 Santiago;profesional;beca;si;0.43;0.51;0.54;M
 Santiago;postgrado;estandar;si;0.81;0.91;0.87;M
 Pudahuel;secundaria;beca;si;0.46;0.54;0.58;M
 Santiago;tecnica;estandar;si;0.71;0.77;0.77;M
 Pudahuel;postgrado;beca;si;0.52;0.7;0.62;M
 Nunoa;primaria;estandar;si;0.97;1.0;1.0;M
 Santiago;postgrado;beca;si;0.62;0.68;0.75;H
 Santiago;tecnica;beca;no;0.46;0.64;0.66;M
 Las_Condes;secundaria;estandar;no;0.5;0.5;0.47;M
 Nunoa;tecnica;estandar;no;0.65;0.69;0.7;M
 Santiago;primaria;beca;si;0.45;0.52;0.49;H
 Santiago;tecnica;beca;si;0.65;0.67;0.65;H
 Las_Condes;secundaria;estandar;no;0.8;0.76;0.65;H
 Nunoa;primaria;estandar;si;0.62;0.66;0.68;H
 Pudahuel;primaria;beca;no;0.48;0.52;0.45;H
 Santiago;profesional;estandar;no;0.77;0.88;0.87;M
 Las_Condes;tecnica;estandar;no;0.66;0.65;0.69;M
 Nunoa;tecnica;estandar;si;0.76;0.83;0.79;H
 Pudahuel;primaria;estandar;no;0.62;0.64;0.66;M
 Nunoa;tecnica;estandar;si;0.77;0.62;0.62;H
 Santiago;postgrado;estandar;si;0.69;0.84;0.85;M
 Nunoa;tecnica;estandar;no;0.61;0.55;0.52;H
 Santiago;primaria;beca;si;0.59;0.69;0.65;H
 Las_Condes;secundaria;beca;no;0.55;0.56;0.51;H
 Pudahuel;tecnica;beca;no;0.45;0.53;0.55;M
 Pudahuel;profesional;beca;no;0.78;0.79;0.76;M
 Santiago;tecnica;estandar;si;0.67;0.84;0.86;M
 Nunoa;tecnica;beca;no;0.65;0.81;0.77;M
 Santiago;tecnica;estandar;no;0.69;0.77;0.69;H
 Pudahuel;tecnica;estandar;no;0.57;0.69;0.68;M
 Santiago;tecnica;estandar;no;0.59;0.41;0.42;H
 Nunoa;primaria;estandar;si;0.74;0.71;0.78;H
 Las_Condes;profesional;estandar;no;0.82;0.62;0.62;H
 Las_Condes;secundaria;estandar;si;0.81;0.8;0.76;H
 Pudahuel;tecnica;beca;no;0.74;0.81;0.76;M
 Pudahuel;tecnica;beca;no;0.58;0.61;0.66;M
 Nunoa;primaria;beca;si;0.8;0.79;0.79;H
 Santiago;tecnica;beca;no;0.35;0.28;0.27;H
 Santiago;secundaria;beca;no;0.42;0.62;0.6;M
 Santiago;tecnica;beca;si;0.6;0.51;0.56;H
 Las_Condes;secundaria;estandar;si;0.87;0.91;0.81;H
 Pudahuel;primaria;estandar;si;0.84;0.83;0.75;H
 Las_Condes;tecnica;beca;si;0.83;0.86;0.88;M
 Santiago;secundaria;beca;no;0.34;0.42;0.39;M
 Pudahuel;secundaria;beca;no;0.66;0.77;0.7;H
 Pudahuel;primaria;estandar;si;0.61;0.56;0.56;H
 Nunoa;secundaria;estandar;si;0.56;0.68;0.74;M
 Pudahuel;tecnica;estandar;no;0.87;0.85;0.73;H
 Santiago;primaria;beca;no;0.55;0.65;0.62;M
 Nunoa;primaria;estandar;no;0.86;0.8;0.75;H
 Pudahuel;tecnica;estandar;si;0.52;0.66;0.73;M
 Las_Condes;postgrado;beca;no;0.45;0.56;0.54;M
 Santiago;tecnica;estandar;no;0.72;0.72;0.71;M
 Nunoa;secundaria;estandar;no;0.57;0.5;0.54;H
 Lo_Prado;primaria;beca;no;0.68;0.72;0.64;H
 Santiago;tecnica;estandar;si;0.88;0.95;0.94;M
 Nunoa;tecnica;estandar;no;0.76;0.64;0.66;H
 Santiago;tecnica;estandar;no;0.46;0.43;0.42;H
 Pudahuel;profesional;estandar;no;0.67;0.86;0.83;M
 Las_Condes;primaria;estandar;no;0.92;0.87;0.78;H
 Santiago;profesional;estandar;si;0.83;0.82;0.84;H
 Nunoa;tecnica;estandar;no;0.8;0.75;0.77;H
 Nunoa;profesional;beca;no;0.63;0.66;0.67;H
 Nunoa;primaria;estandar;si;0.64;0.6;0.74;M
 Pudahuel;tecnica;estandar;no;0.54;0.52;0.51;H
 Santiago;tecnica;estandar;no;0.84;0.8;0.8;H
 Nunoa;secundaria;beca;si;0.73;0.68;0.66;H
 Las_Condes;profesional;estandar;no;0.8;0.83;0.83;M
 Nunoa;secundaria;estandar;no;0.56;0.52;0.55;M
 Las_Condes;tecnica;estandar;no;0.59;0.51;0.43;H
 Nunoa;primaria;estandar;no;0.75;0.74;0.69;H
 Santiago;tecnica;estandar;no;0.85;0.76;0.71;H
 Las_Condes;tecnica;estandar;no;0.89;0.76;0.74;H
 Pudahuel;secundaria;estandar;si;0.58;0.7;0.68;M
 Pudahuel;secundaria;estandar;no;0.65;0.64;0.62;M
 Santiago;secundaria;estandar;no;0.68;0.6;0.53;H
 Lo_Prado;primaria;estandar;si;0.47;0.49;0.49;H
 Nunoa;tecnica;beca;no;0.71;0.83;0.83;M
 Pudahuel;primaria;estandar;si;0.6;0.7;0.7;M
 Nunoa;postgrado;estandar;no;0.8;0.8;0.72;H
 Nunoa;secundaria;estandar;no;0.54;0.52;0.52;H
 Las_Condes;tecnica;estandar;no;0.62;0.73;0.7;M
 Santiago;tecnica;beca;no;0.64;0.73;0.68;M
 Santiago;tecnica;estandar;si;0.78;0.77;0.77;H
 Pudahuel;tecnica;estandar;no;0.7;0.75;0.78;M
 Santiago;postgrado;beca;si;0.65;0.81;0.81;M
 Santiago;primaria;beca;si;0.64;0.79;0.77;M
 Santiago;tecnica;estandar;si;0.79;0.79;0.78;H
 Santiago;primaria;beca;no;0.44;0.5;0.51;M
 Las_Condes;secundaria;estandar;no;0.99;0.93;0.9;M
 Nunoa;secundaria;estandar;no;0.76;0.73;0.68;H
 Nunoa;primaria;beca;no;0.59;0.42;0.41;H
 Santiago;profesional;estandar;no;0.63;0.75;0.81;M
 Nunoa;secundaria;estandar;no;0.69;0.72;0.77;M
 Nunoa;tecnica;estandar;si;0.88;0.92;0.95;M
 Las_Condes;tecnica;beca;no;0.71;0.76;0.7;M
 Santiago;profesional;estandar;no;0.69;0.63;0.61;H
 Santiago;tecnica;estandar;no;0.58;0.49;0.42;H
 Nunoa;tecnica;beca;no;0.47;0.53;0.58;M
 Nunoa;tecnica;estandar;no;0.65;0.7;0.71;M
 Pudahuel;tecnica;estandar;si;0.88;0.85;0.76;H
